Date : 2026-05-29 10:45:10
Directory : c:\Users\ankit\Downloads\xace
Total : 230 files,  6941 codes, 490 comments, 1127 blanks, all 8558 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| packages\save-engine\src                                                                                               |          4 |        225 |          6 |         45 |        276 |
| packages\save-engine\tests                                                                                             |          1 |         64 |          0 |         18 |         82 |
| packages\system-graph-compiler                                                                                         |         26 |        901 |          0 |         27 |        928 |
| packages\system-graph-compiler\src                                                                                     |         26 |        901 |          0 |         27 |        928 |
| packages\system-graph-compiler\src (Files)                                                                             |          4 |         71 |          0 |          4 |         75 |
| packages\system-graph-compiler\src\conflict_analyzer                                                                   |          2 |         30 |          0 |          2 |         32 |
| packages\system-graph-compiler\src\cycle_detection                                                                     |          2 |         86 |          0 |          2 |         88 |
| packages\system-graph-compiler\src\dependency_resolution                                                               |          2 |        144 |          0 |          2 |        146 |
| packages\system-graph-compiler\src\graph_construction                                                                  |          5 |        129 |          0 |          5 |        134 |
| packages\system-graph-compiler\src\parallelization                                                                     |          1 |         -4 |          0 |          1 |         -3 |
| packages\system-graph-compiler\src\phase_segmentation                                                                  |          3 |        136 |          0 |          3 |        139 |
| packages\system-graph-compiler\src\scheduler                                                                           |          2 |         30 |          0 |          3 |         33 |
| packages\system-graph-compiler\src\tests                                                                               |          5 |        279 |          0 |          5 |        284 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\ankit\Downloads\xace\.xace\exports\godot\xace_export_manifest.json                                            | JSON       |         11 |          0 |          0 |         11 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceConsoleWidget.cs                                                 | C#         |        346 |         70 |         67 |        483 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceDeltaApplicator.cs                                               | C#         |        405 |         85 |        112 |        602 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceInputCollector.cs                                                | C#         |        230 |         60 |         47 |        337 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unity\XaceTransport.cs                                                     | C#         |        299 |         82 |         66 |        447 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unity\Xace_embedded.cs                                                     | C#         |        223 |         85 |         63 |        371 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unity\xace_export_manifest.json                                            | JSON       |         12 |          0 |          0 |         12 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceConsoleWidget.cpp                                               | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceConsoleWidget.h                                                 | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceDeltaApplicator.cpp                                             | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceDeltaApplicator.h                                               | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceInputCollector.cpp                                              | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceInputCollector.h                                                | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceTransport.cpp                                                   | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\XaceTransport.h                                                     | C++        |          0 |          1 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\.xace\exports\unreal\xace_export_manifest.json                                           | JSON       |         15 |          0 |          0 |         15 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\cgs.rs                                                         | Rust       |          2 |          0 |          1 |          3 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\lib.rs                                                         | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\runner.rs                                                      | Rust       |         19 |          0 |          1 |         20 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\ai_system.rs                                           | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\damage_system.rs                                       | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\death_system.rs                                        | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\input_system.rs                                        | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\mod.rs                                                 | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\examples\zombie-chase\src\systems\movement_system.rs                                     | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\builder_server.py                                      | Python     |        112 |         11 |         13 |        136 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\ollama_adapter.py                                      | Python     |        139 |         11 |         26 |        176 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\session_manager.py                                     | Python     |         32 |          0 |          2 |         34 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\ws_message_router.py                                   | Python     |          2 |          0 |          1 |          3 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\api\message_types.ts                                      | TypeScript |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\app.ts                                                    | TypeScript |          1 |          0 |          0 |          1 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\model_selector.ts                                  | TypeScript |        -27 |        -12 |          3 |        -36 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\console\xace_terminal.ts                                  | TypeScript |         42 |          0 |          8 |         50 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\layout\main_layout.ts                                     | TypeScript |        118 |          0 |          8 |        126 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\panels\asset_status_panel.ts                              | TypeScript |          1 |         -1 |          0 |          0 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\preview\engine_viewport.ts                                | TypeScript |        182 |        -32 |         16 |        166 |
| c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\state\cgs_store.ts                                        | TypeScript |          5 |          2 |          1 |          8 |
| c:\Users\ankit\Downloads\xace\packages\core\src\contracts\interfaces.rs                                                | Rust       |        -51 |          0 |          1 |        -50 |
| c:\Users\ankit\Downloads\xace\packages\core\src\contracts\mod.rs                                                       | Rust       |        -10 |          0 |          1 |         -9 |
| c:\Users\ankit\Downloads\xace\packages\core\src\entity_metadata.rs                                                     | Rust       |         -2 |          0 |          0 |         -2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\entity_state.rs                                                        | Rust       |          3 |          0 |          1 |          4 |
| c:\Users\ankit\Downloads\xace\packages\core\src\errors\determinism_error.rs                                            | Rust       |         27 |          0 |          1 |         28 |
| c:\Users\ankit\Downloads\xace\packages\core\src\errors\mod.rs                                                          | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\errors\xace_error.rs                                                   | Rust       |          8 |          0 |          1 |          9 |
| c:\Users\ankit\Downloads\xace\packages\core\src\events\event_struct.rs                                                 | Rust       |         -8 |          0 |          1 |         -7 |
| c:\Users\ankit\Downloads\xace\packages\core\src\events\event_type.rs                                                   | Rust       |          2 |          2 |          2 |          6 |
| c:\Users\ankit\Downloads\xace\packages\core\src\events\mod.rs                                                          | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\dsl_operation.rs                                              | Rust       |        -26 |          0 |          1 |        -25 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mod.rs                                                        | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\mutation_transaction.rs                                       | Rust       |        -12 |          0 |          1 |        -11 |
| c:\Users\ankit\Downloads\xace\packages\core\src\mutation\schema_delta.rs                                               | Rust       |         -6 |          0 |          1 |         -5 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_group.rs                                             | Rust       |        -10 |          0 |          1 |         -9 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\execution_plan.rs                                              | Rust       |        -16 |          0 |          1 |        -15 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\mod.rs                                                         | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\phase_enum.rs                                                  | Rust       |        -14 |          0 |          1 |        -13 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\state_delta.rs                                                 | Rust       |         -4 |          0 |          1 |         -3 |
| c:\Users\ankit\Downloads\xace\packages\core\src\runtime\world_snapshot.rs                                              | Rust       |        -19 |          0 |          1 |        -18 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\actor_definition.rs                                             | Rust       |         -3 |          0 |          0 |         -3 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\canonical_game_schema.rs                                        | Rust       |         -4 |          0 |          0 |         -4 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\game_mode.rs                                                    | Rust       |        -12 |          0 |          1 |        -11 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\rule_definition.rs                                              | Rust       |         -1 |          0 |          0 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\system_definition.rs                                            | Rust       |         -2 |          0 |          1 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\schema\world_definition.rs                                             | Rust       |         16 |          0 |          0 |         16 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\authority_component.rs                                             | Rust       |         -1 |          0 |          0 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\collider_component.rs                                              | Rust       |         19 |          0 |          1 |         20 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\event_component.rs                                                 | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\game_state_component.rs                                            | Rust       |         -2 |          0 |          1 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\identity_component.rs                                              | Rust       |         -1 |          0 |         -1 |         -2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\input_component.rs                                                 | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\lifetime_component.rs                                              | Rust       |          1 |          0 |          1 |          2 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\render_component.rs                                                | Rust       |         -1 |          0 |          1 |          0 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\transform_component.rs                                             | Rust       |         17 |          0 |          0 |         17 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\ucl_registry.rs                                                    | Rust       |         -9 |          0 |          0 |         -9 |
| c:\Users\ankit\Downloads\xace\packages\core\src\ucl\velocity_component.rs                                              | Rust       |          4 |          0 |          1 |          5 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\delta_payload.rs                                                  | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\feedback_payload.rs                                               | Rust       |        -16 |          0 |          1 |        -15 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\message_type.rs                                                   | Rust       |          2 |          0 |          1 |          3 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\mod.rs                                                            | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\snapshot_payload.rs                                               | Rust       |         -7 |          0 |          1 |         -6 |
| c:\Users\ankit\Downloads\xace\packages\core\src\wire\wire_message.rs                                                   | Rust       |        -35 |          0 |          1 |        -34 |
| c:\Users\ankit\Downloads\xace\packages\engine-adapter\build.rs                                                         | Rust       |         -2 |          0 |          1 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\authority_resolver.rs                                | Rust       |         35 |          0 |          8 |         43 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\authority_transfer.rs                                | Rust       |         32 |          0 |          4 |         36 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\cheat_guard.rs                                       | Rust       |        106 |          0 |         12 |        118 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\authority\mod.rs                                               | Rust       |          6 |          0 |          2 |          8 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_broadcaster.rs                                     | Rust       |         62 |          0 |          9 |         71 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_buffer.rs                                          | Rust       |        322 |          0 |         47 |        369 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_delay_manager.rs                                   | Rust       |        195 |          0 |         30 |        225 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_log.rs                                             | Rust       |        156 |          0 |         24 |        180 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_packet.rs                                          | Rust       |        366 |          0 |         37 |        403 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\input\input_synchroniser.rs                                    | Rust       |        293 |          0 |         40 |        333 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\input\mod.rs                                                   | Rust       |         19 |          0 |          2 |         21 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\lib.rs                                                         | Rust       |         53 |          6 |         15 |         74 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\client_predictor.rs                                 | Rust       |         35 |          0 |          5 |         40 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\mod.rs                                              | Rust       |          8 |          0 |          2 |         10 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\prediction_buffer.rs                                | Rust       |         29 |          0 |          7 |         36 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\reconciliation_engine.rs                            | Rust       |         48 |          0 |          6 |         54 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\prediction\rollback_manager.rs                                 | Rust       |         43 |          0 |          8 |         51 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\interest_zone_manager.rs                           | Rust       |         29 |          0 |          7 |         36 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\mod.rs                                             | Rust       |          6 |          0 |          2 |          8 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\relevance_filter.rs                                | Rust       |         30 |          0 |          4 |         34 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\replication\replication_manager.rs                             | Rust       |         31 |          0 |          8 |         39 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\session\connection_state.rs                                    | Rust       |         19 |          0 |          4 |         23 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\session\mod.rs                                                 | Rust       |          8 |          0 |          2 |         10 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\session\peer.rs                                                | Rust       |         32 |          0 |          7 |         39 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\session\peer_manager.rs                                        | Rust       |         60 |          0 |         14 |         74 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\session\session_manager.rs                                     | Rust       |         66 |          0 |         16 |         82 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\desync_detector.rs                             | Rust       |         52 |          0 |          8 |         60 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\late_join_handler.rs                           | Rust       |         23 |          0 |          4 |         27 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\mod.rs                                         | Rust       |          8 |          0 |          2 |         10 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\resync_engine.rs                               | Rust       |         23 |          0 |          4 |         27 |
| c:\Users\ankit\Downloads\xace\packages\network-core\src\synchronisation\tick_barrier.rs                                | Rust       |         49 |          0 |          8 |         57 |
| c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_cheat_guard.rs                                          | Rust       |         44 |          0 |          4 |         48 |
| c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_client_prediction.rs                                    | Rust       |         41 |          0 |          5 |         46 |
| c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_desync_detection.rs                                     | Rust       |         19 |          0 |          6 |         25 |
| c:\Users\ankit\Downloads\xace\packages\network-core\tests\test_input_synchroniser.rs                                   | Rust       |        134 |          0 |         21 |        155 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\bin\xace_runtime.rs                                            | Rust       |         52 |         -9 |          7 |         50 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\builtin_systems.rs                                             | Rust       |         33 |        -26 |         -5 |          2 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\cgs_loader.rs                                                  | Rust       |         24 |          8 |          0 |         32 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype.rs                                  | Rust       |          6 |          0 |         -2 |          4 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype_index.rs                            | Rust       |          5 |          0 |         -1 |          4 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\archetype_storage.rs                          | Rust       |         60 |          0 |         -1 |         59 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\component_table.rs                            | Rust       |          2 |          0 |          1 |          3 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\component_table_store.rs                      | Rust       |        -25 |          0 |          1 |        -24 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\mod.rs                                        | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\sorted_entity_map.rs                          | Rust       |         -1 |          0 |          1 |          0 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\storage_router.rs                             | Rust       |          9 |          0 |          0 |          9 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\storage_strategy.rs                           | Rust       |          2 |          0 |         -3 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\tests\mod.rs                                  | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\component_tables\tests\test_component_tables.rs                | Rust       |          6 |          0 |          1 |          7 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\animation_event_system.rs                        | Rust       |        -19 |          0 |          0 |        -19 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\animation_layer_manager.rs                       | Rust       |         -9 |          0 |          1 |         -8 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\animation_state_validator.rs                     | Rust       |        -18 |          0 |          1 |        -17 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\mod.rs                                           | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\tests\mod.rs                                     | Rust       |          0 |          0 |          1 |          1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\tests\test_animation_event_system.rs             | Rust       |          6 |          0 |          1 |          7 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\character\tests\test_animation_layers.rs                   | Rust       |         -2 |          0 |          1 |         -1 |
| c:\Users\ankit\Downloads\xace\packages\runtime-core\src\dcl\mod.rs                                                     | Rust       |          0 |          0 |          1 |          1 |
